Id aeropuerto,Codigo,Ciudad,Aeropuerto,Longitud,Latitud,N vuelos,N operados,Minutos de demora,N puntuales
14,DME,Moscow,Domodedovo International Airport,37.90629959106445,55.40879821777344,3217,1626,19966,1549
81,SVO,Moscow,Sheremetyevo International Airport,37.4146,55.972599,2981,1510,18168,1439
43,LED,St. Petersburg,Pulkovo Airport,30.262500762939453,59.80030059814453,1900,960,12066,913
99,VKO,Moscow,Vnukovo International Airport,37.2615013123,55.5914993286,1719,870,11630,822
64,OVB,Novosibirsk,Tolmachevo Airport,82.650703430176,55.012599945068,1055,537,6518,511
34,KJA,Krasnoyarsk,Yemelyanovo Airport,92.493301391602,56.172901153564,707,359,4689,340
82,SVX,Yekaterinburg,Koltsovo Airport,60.802700042725,56.743099212646,689,349,5116,329
66,PEE,Perm,Bolshoye Savino Airport,56.021198272705,57.914501190186,619,313,3286,301
74,ROV,Rostov,Rostov-on-Don Airport,39.8180999756,47.2582015991,617,311,2860,301
9,BZK,Bryansk,Bryansk Airport,34.176399231,53.214199066199996,610,306,4026,290
3,AER,Sochi,Sochi International Airport,39.956600189209,43.449901580811,584,294,4154,278
65,OVS,Sovetskiy,Sovetskiy Airport,63.60191345214844,61.326622009277344,549,278,4249,261
77,SGC,Surgut,Surgut Airport,73.40180206298828,61.34370040893555,531,269,2753,259
23,HMA,Khanty-Mansiysk,Khanty Mansiysk Airport,69.08609771728516,61.028499603271484,515,261,3566,246
58,NUX,Novy Urengoy,Novy Urengoy Airport,76.52030181884766,66.06939697265625,506,257,3408,243
42,KZN,Kazan,Kazan International Airport,49.278701782227,55.606201171875,471,239,2859,228
85,TJM,Tyumen,Roshchino International Airport,65.3243026733,57.189601898199996,427,217,2415,208
11,CEK,Chelyabinsk,Chelyabinsk Balandino Airport,61.5033,55.305801,409,207,2842,195
33,KHV,Khabarovsk,Khabarovsk-Novy Airport,135.18800354004,48.52799987793,400,203,2520,193
91,ULV,Ulyanovsk,Ulyanovsk Baratayevka Airport,48.226699829100006,54.26829910279999,392,198,2703,187
88,UFA,Ufa,Ufa International Airport,55.874401092529,54.557498931885,384,195,2140,187
46,MJZ,Mirnyj,Mirny Airport,114.03900146484375,62.534698486328125,383,194,2732,183
16,EGO,Belgorod,Belgorod International Airport,36.5900993347168,50.643798828125,366,185,2245,176
39,KVX,Kirov,Pobedilovo Airport,49.348300933838,58.503299713135,366,185,2691,174
27,IKT,Irkutsk,Irkutsk Airport,104.38899993896,52.268001556396,366,185,2469,175
56,NOZ,Novokuznetsk,Spichenkovo Airport,86.877197265625,53.8114013671875,365,186,1730,180
67,PES,Petrozavodsk,Petrozavodsk Airport,34.154701232910156,61.88520050048828,358,181,2836,170
21,GOJ,Nizhniy Novgorod,Nizhny Novgorod Strigino International Airport,43.784000396729,56.230098724365,357,179,2649,168
4,ARH,Arkhangelsk,Talagi Airport,40.71670150756836,64.60030364990234,323,164,1324,160
101,VOG,Volgograd,Volgograd International Airport,44.34550094604492,48.782501220703125,314,159,2419,149
13,CSY,Cheboksary,Cheboksary Airport,47.3473014831543,56.090301513671875,305,155,2560,144
72,REN,Orenburg,Orenburg Central Airport,55.45669937133789,51.795799255371094,305,155,1596,149
17,ESL,Elista,Elista Airport,44.33089828491211,46.3739013671875,297,150,1178,146
100,VKT,Vorkuta,Vorkuta Airport,63.993099212646484,67.48860168457031,280,141,1866,133
98,UUS,Yuzhno-Sakhalinsk,Yuzhno-Sakhalinsk Airport,142.71800231933594,46.88869857788086,262,133,1481,127
29,JOK,Yoshkar-Ola,Yoshkar-Ola Airport,47.904701232910156,56.700599670410156,261,132,1575,126
86,TOF,Tomsk,Bogashevo Airport,85.208297729492,56.380298614502,254,130,1270,125
76,SCW,Syktyvkar,Syktyvkar Airport,50.84510040283203,61.64699935913086,253,129,1475,123
84,TBW,Tambow,Donskoye Airport,41.482799530029,52.806098937988,244,123,1705,116
75,RTW,Saratov,Saratov Central Airport,46.04669952392578,51.564998626708984,244,124,1334,119
68,PEZ,Penza,Penza Airport,45.02109909057617,53.110599517822266,244,124,1348,119
48,MQF,Magnetiogorsk,Magnitogorsk International Airport,58.755699157714844,53.39310073852539,244,124,1217,120
37,KRR,Krasnodar,Krasnodar Pashkovsky International Airport,39.170501708984,45.034698486328,236,118,1577,112
2,ABA,Abakan,Abakan Airport,91.38500213623047,53.7400016784668,235,119,1706,112
51,NBC,Nizhnekamsk,Begishevo Airport,52.092498779296875,55.564701080322266,227,114,714,112
36,KRO,Kurgan,Kurgan Airport,65.41560363769531,55.47529983520508,211,107,1317,102
